Title,Description,Tags,Time,Lang,Star 
SeleniumHQ/selenium,A browser automation framework and ecosystem., | java | selenium | ruby | python | webdriver,17 hours ago,Java,10.8k 
robotframework/SeleniumLibrary,Web testing library for Robot Framework, | python | selenium | robotframework,18 hours ago,Python,540 
SeleniumHQ/docker-selenium,Docker images for Selenium Grid Server (Standalone  Hub  and Nodes)., | docker-selenium | docker | webdriver | selenium | selenium-server | selenium-grid | selenium-node,3 days ago,Shell,2.4k 
tebeka/selenium,Selenium/Webdriver client for Go,,6 hours ago,Go,394 
watir/watir,Watir Powered By Selenium,,16 hours ago,Ruby,1.1k 
seleniumbase/SeleniumBase,Automated testing made fast  easy  and reliable., | webdriver | pytest | python | selenium | test-automation | test-framework | page-object-model,3 days ago,Python,388 
baijum/selenium-python,Selenium Python Bindings Documentation, | python | webdriver | selenium | python3,on Feb 16,Python,408 
giorgiosironi/phpunit-selenium,Selenium RC integration for PHPUnit,,on Jan 4,PHP,549 
elgalu/docker-selenium,Selenium in Docker with Chrome & Firefox plus video recording support. Also check: Zalenium, | video-recording | chrome | vnc | docker-selenium | firefox | headless | selenium-server | selenium-grid,5 hours ago,Shell,932 
vvo/selenium-standalone,get a `selenium-standalone install/start` command line to start a standalone selenium server with chromedriver  firef…,,4 days ago,JavaScript,694 
Ardesco/Selenium-Maven-Template,A maven template for Selenium that will let you check out and go., | java | template | webdriver | maven | selenium | selenium-webdriver,11 days ago,Java,256 
SeleniumHQ/www.seleniumhq.org,Official user guide for Selenium - a browser automation tool.,,11 days ago,Java,118 
groupon/Selenium-Grid-Extras,Simplify the management of the Selenium Grid Nodes and stabilize said nodes by cleaning up the test environment after…,,11 days ago,Ruby,455 
executeautomation/SeleniumWithCucucumber,In this project we will discuss working Selenium with cucumber, | selenium | cucumber | java | framework | webdriver | intellij | idea,on Apr 12,HTML,21 
florentbr/SeleniumBasic,A Selenium based browser automation framework for VB.Net  VBA and VBScript,,on Mar 2  2016,C#,107 
jenkinsci/selenium-plugin,Jenkins selenium plugin,,11 days ago,Java,105 
admc/wd,A node.js client for webdriver/selenium 2.,,5 days ago,JavaScript,1.3k 
tarun3kumar/seleniumtestsframework,STF is a webdriver based test automation library which generates comprehensible tests reports comparable to BDD frame…,,on Apr 21,Java,74 
LearnBoost/soda,Selenium Node.JS adapter,,on Nov 26  2012,JavaScript,478 
bonigarcia/webdrivermanager,Automatic management of Selenium WebDriver binaries, | selenium-webdriver | java | maven | selenium | chromedriver | geckodriver,8 days ago,Java,543 
fool2fish/selenium-doc,selenium sebarmeli/Selenium2-Java-QuickStart-Archetype,Maven Archetype for getting started with Selenium 2 (Java),,on Feb 22  2017,Java,66 
tobecrazy/SeleniumDemo,Selenium automation test framework, | snapshot | python | jenkins | crawler | maven | selenium | pip | selenium-webdriver | selenium-grid,11 days ago,HTML,40 
SeleniumHQ/selenium-ide,Work in progress for Selenium IDE TNG,,a day ago,JavaScript,290 
SeleniumHQ/selenium-google-code-issue-archive,Archive  please see main selenium repo,,on Sep 12  2016,,230 
